);Latitude;Longitude
L5;17.94231683;-67.06192773
L6;17.94227721;-67.06094383
L4;17.94239547;-67.06291444
L1;17.94333272;-67.0628132
L2;17.94326443;-67.06181062
L3;17.94318956;-67.06083894
L9;17.94139282;-67.06103204
L8;17.94141823;-67.06199444
L7;17.94144988;-67.06295254
NEW L7;17.941779;-67.062198
NEW L8;17.941711;-67.061841
NEW L9;17.94182;-67.061232
M8;17.96863942;-67.04587227
M7;17.96839547;-67.04678465
M3;17.96928466;-67.04711028
M1;17.97017388;-67.04739392
M2;17.97037371;-67.04643807
M5;17.96994461;-67.04607212
M6;17.96948071;-67.04589466
M4;17.96960326;-67.04621216
